NAME,Symbol,Market Value (millions)
EXXON MOBIL CORPORATION, ,"$384,845.80"
GENERAL ELECTRIC COMPANY,GE,"$346,042.10"
MICROSOFT CORPORATION,MSFT,"$299,647.60"
BP P.L.C.,BP,"$248,469.70"
"CITIGROUP, INC.",C,"$231,977.70"
PROCTER & GAMBLE COMPANY (THE),PG,"$194,814.00"
"WAL-MART STORES, INC.",WMT,"$191,978.50"
"PFIZER, INC.",PFE,"$189,297.40"
"HSBC HOLDINGS, PLC.",HBC,"$188,804.60"
TOYOTA MOTOR CORPORATION,TM,"$187,196.40"
JOHNSON & JOHNSON,JNJ,"$179,515.80"
BANK OF AMERICA CORPORATION,BAC,"$176,906.20"
"AMERICAN INTERNATIONAL GROUP, INC.",AIG,"$169,908.50"
"TOTALFINAELF, S.A.",TOT,"$169,852.60"
NOVARTIS AG,NVS,"$151,092.70"
ALTRIA GROUP,MO,"$150,638.60"
GLAXOSMITHKLINE PLC,GSK,"$149,062.80"
MITSUBISHI UFJ FINANCIAL GROUP INC,MTU,"$146,421.90"
J.P. MORGAN CHASE & CO.,JPM,"$138,596.30"
ROYAL DUTCH SHELL PLC,RDS/A,"$133,773.40"
CHEVRONTEXACO CORPORATION,CVX,"$133,307.10"
SANOFI-AVENTIS SA,SNY,"$128,920.20"
VODAFONE AIRTOUCH PUBLIC LIMITED COMPANY,VOD,"$128,885.40"
INTEL CORPORATION,INTC,"$128,146.40"
INTERNATIONAL BUSINESS MACHINES CORPORATION,IBM,"$127,641.00"
ENI S.P.A.,E,"$121,462.50"
"CISCO SYSTEMS, INC.",CSCO,"$114,067.10"
BERKSHIRE HATHAWAY INC.,BRK/A,"$112,846.90"
UBS AG,UBS,"$110,546.60"
WELLS FARGO CAP IX,WFC,"$104,281.10"
AT&T INC.,T,"$101,549.80"
ROYAL DUTCH SHELL PLC,RDS/B,"$99,061.00"
COCA-COLA COMPANY (THE),KO,"$98,450.10"
CHINA MOBILE (HONG KONG) LTD.,CHL,"$97,501.20"
"PEPSICO, INC.",PEP,"$94,976.00"
VERIZON COMMUNICATIONS INC.,VZ,"$92,763.80"
CONOCOPHILLIPS,COP,"$92,112.70"
"GENENTECH, INC.",DNA,"$90,603.70"
AMGEN INC.,AMGN,"$89,969.60"
"BANCO SANTANDER CENTRAL HISPANO, S.A.",STD,"$89,248.80"
HEWLETT-PACKARD COMPANY,HPQ,"$87,958.60"
GOOGLE INC.,GOOG,"$86,317.00"
"HOME DEPOT, INC. (THE)",HD,"$86,139.80"
WACHOVIA CORPORATION,WB,"$85,370.30"
SIEMENS AG,SI,"$81,605.60"
NOKIA CORPORATION,NOK,"$81,494.80"
UNITEDHEALTH GROUP INCORPORATED,UNH,"$81,108.30"
TIME WARNER INC.,TWX,"$80,206.10"
QUALCOMM INCORPORATED,QCOM,"$78,855.30"
"ING GROUP, N.V.",ING,"$78,822.70"
NTT DOCOMO INC,DCM,"$77,676.50"
E.ON AG,EON,"$77,504.80"
ASTRAZENECA PLC,AZN,"$76,838.50"
"MERCK & COMPANY, INC.",MRK,"$75,438.80"
SCHLUMBERGER N.V.,SLB,"$75,079.30"
TELEFONICA SA,TEF,"$75,014.40"
MOBILE TELESYSTEMS,MBT,"$74,709.90"
NIPPON TELEGRAPH AND TELEPHONE CORPORATION,NTT,"$73,164.20"
BHP BILLITON LIMITED,BHP,"$70,814.20"
CREDIT SUISSE GROUP,CSR,"$70,042.90"
BARCLAYS PLC,BCS,"$69,336.30"
DELL INC.,DELL,"$68,981.70"
"MERRILL LYNCH & CO., INC.",MER,"$68,778.10"
BANCO BILBAO VISCAYA ARGENTARIA S.A.,BBV,"$68,630.80"
"MEDTRONIC, INC.",MDT,"$68,305.80"
ABBOTT LABORATORIES,ABT,"$66,935.50"
DEUTSCHE TELEKOM AG,DT,"$66,534.40"
AMERICAN EXPRESS COMPANY,AXP,"$65,090.50"
MORGAN STANLEY,MS,"$64,994.30"
"SAP AKTIENGESELLSCHAFT SYSTEME, ANWENDUNGEN, PRODUKT",SAP,"$64,993.50"
SPRINT  NEXTEL CORPORATION,S,"$64,848.10"
ORACLE CORPORATION,ORCL,"$64,758.40"
ELI LILLY AND COMPANY,LLY,"$64,355.90"
ALLIANZ AKTIENGESELLSCHAFT,AZ,"$64,122.00"
"GOLDMAN SACHS GROUP, INC. (THE)",GS,"$63,675.40"
"APPLE COMPUTER, INC.",AAPL,"$63,637.40"
AXA,AXA,"$63,391.30"
AMERICAN HOME PRODUCTS CORPORATION,WYE,"$62,079.50"
STATOIL ASA,STO,"$60,629.60"
EBAY INC.,EBAY,"$60,269.70"
PETROLEO BRASILEIRO S.A.- PETROBRAS,PBR,"$59,929.00"
UNITED TECHNOLOGIES CORPORATION,UTX,"$59,458.80"
FRANCE TELECOM S.A.,FTE,"$59,248.60"
ANGLO AMERICAN PLC,AAUK,"$58,155.30"
DAIMLERCHRYSLER AG,DCX,"$58,055.10"
DEUTSCHE BANK AG,DB,"$58,039.10"
LM ERICSSON TELEPHONE COMPANY,ERICY,"$57,762.40"
"MOTOROLA, INC.",MOT,"$56,566.00"
FEDERAL NATIONAL MORTGAGE ASSOCIATION,FNM,"$56,080.40"
BOEING COMPANY (THE),BA,"$55,144.30"
3M COMPANY,MMM,"$54,892.60"
SPDR TRUST SERIES I,SPY,"$54,770.60"
RIO TINTO PLC,RTP,"$54,672.70"
U.S. BANCORP,USB,"$54,326.90"
"CANON, INC.",CAJ,"$53,520.10"
TAIWAN SEMICONDUCTOR MANUFACTURING COMPANY LIMITED,TSM,"$53,411.10"
"MATSUSHITA ELECTRIC INDUSTRIAL COMPANY, LTD.",MC,"$53,403.00"
"TYCO INTERNATIONAL, LTD.",TYC,"$52,988.00"
ABN AMRO HOLDING N.V.,ABN,"$52,842.50"
"HONDA MOTOR COMPANY, LTD.",HMC,"$52,826.80"
ENEL S.P.A.,EN,"$52,286.60"
STRUCTURED PRODUCTS CORP.,BLS,"$51,670.90"
LLOYDS TSB GROUP PLC,LYG,"$51,544.10"
"NISSAN MOTOR CO., LTD.",NSANY,"$50,519.00"
ROYAL BANK OF CANADA,RY,"$50,481.70"
"LOWE'S COMPANIES, INC.",LOW,"$49,691.00"
SONY CORPORATION,SNE,"$48,936.40"
YAHOO! INC.,YHOO,"$48,769.10"
WALT DISNEY COMPANY (THE),DIS,"$48,653.60"
MANULIFE FINANCIAL CORP,MFC,"$48,275.90"
TARGET CORPORATION,TGT,"$48,135.30"
TELEFONICA MOVILES S.A.,TEM,"$47,852.60"
"BRITISH AMERICAN TOBACCO  INDUSTRIES, P.L.C.",BTI,"$47,662.40"
"UNITED PARCEL SERVICE, INC.",UPS,"$47,629.80"
WELLPOINT HEALTH NETWORKS INC.,WLP,"$47,324.20"
TEXAS INSTRUMENTS INCORPORATED,TXN,"$47,295.70"
SUEZ ADS,SZE,"$47,234.00"
FEDERAL HOME LOAN MORTGAGE CORPORATION,FRE,"$46,957.80"
BHP BILLITON PLC,BBL,"$46,524.60"
"CATERPILLAR, INC.",CAT,"$46,186.10"
LEHMAN ABS CORPORATION,BMY,"$44,589.10"
"KONINKLIJKE PHILIPS ELECTRONICS, N.V.",PHG,"$44,312.10"
MCDONALD'S CORPORATION,MCD,"$44,062.60"
WALGREEN COMPANY,WAG,"$43,803.20"
DIAGEO PLC,DEO,"$43,017.90"
ENCANA CORPORATION,ECA,"$42,826.20"
BROWN-FORMAN CORPORATION,BF,"$42,299.50"
"AMERICA MOVIL, S.A. DE C.V.",AMX,"$41,854.50"
"WASHINGTON MUTUAL, INC.",WM,"$41,503.60"
